,0,1,2,3,4,5,6,7
0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
4,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0
5,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
11,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
24,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
27,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
28,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
29,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
30,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
31,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0
32,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
33,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
34,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
35,1.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0
36,2.0,5.0,1.0,0.0,0.0,169.0,0.0,1.0
37,2.0,3.0,2.0,0.0,1.0,145.0,0.0,1.0
38,2.0,3.0,2.0,0.0,0.0,125.0,0.0,1.0
39,2.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0
40,2.0,10.0,1.0,0.0,0.0,4.0,0.0,1.0
41,3.0,7.0,2.0,1.0,1.0,144.0,160.0,1.0
42,2.0,8.0,2.0,0.0,0.0,144.0,0.0,1.0
43,2.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0
44,3.0,4.0,2.0,1.0,0.0,122.0,0.0,1.0
45,3.0,6.0,3.0,1.0,1.0,0.0,4.0,1.0
46,2.0,7.0,2.0,0.0,0.0,122.0,0.0,1.0
47,2.0,5.0,2.0,0.0,0.0,145.0,0.0,3.0
48,2.0,7.0,4.0,0.0,0.0,1.0,0.0,3.0
49,2.0,5.0,4.0,0.0,0.0,1.0,0.0,3.0
50,2.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0
51,2.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0
52,3.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0
53,2.0,3.0,3.0,0.0,122.0,1.0,0.0,3.0
54,1.0,11.0,0.0,0.0,1.0,0.0,0.0,3.0
55,3.0,7.0,2.0,1.0,0.0,0.0,0.0,3.0
56,1.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0
57,3.0,7.0,3.0,1.0,0.0,0.0,0.0,3.0
58,3.0,7.0,3.0,1.0,0.0,121.0,9.0,3.0
59,3.0,7.0,2.0,1.0,0.0,1.0,4.0,3.0
60,2.0,9.0,2.0,0.0,0.0,144.0,0.0,3.0
61,3.0,3.0,2.0,1.0,0.0,122.0,4.0,3.0
62,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0
63,2.0,6.0,1.0,0.0,1.0,1.0,0.0,3.0
64,2.0,4.0,2.0,0.0,0.0,122.0,0.0,3.0
65,1.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0
66,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
67,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0
68,1.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0
69,1.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0
